Team-H,xG-H,xG-A,Team-A
Southampton,0.4,2.4,Tottenham
Watford,1.1,2.9,West Ham
Crystal Palace,2,1.2,Norwich City
Leicester City,0.6,2.5,Liverpool
Chelsea,1.1,0.9,Brighton
Brentford,0.3,0.8,Manchester City
Manchester Utd,2,0.8,Burnley
Arsenal,1,1.8,Manchester City
Watford,0.3,2,Tottenham
Crystal Palace,2.2,2,West Ham
Brentford,0.6,1.2,Aston Villa
Leeds United,1.6,1,Burnley
Everton,1.7,1.5,Brighton
Chelsea,1.3,1.3,Liverpool
Manchester Utd,0.8,0.7,Wolves
