Team-H,xG-H,xG-A,Team-A
Brentford,1.3,1.4,Arsenal
Manchester Utd,1.5,0.6,Leeds United
Leicester City,0.8,1.1,Wolves
Burnley,1,1.3,Brighton
Watford,1.2,1.1,Aston Villa
Chelsea,0.9,0.3,Crystal Palace
Everton,2.4,0.7,Southampton
Norwich City,1.4,2,Liverpool
Newcastle Utd,1.5,2.3,West Ham
Tottenham,1.3,1.9,Manchester City
Liverpool,2.9,0.7,Burnley
Aston Villa,1.1,0.7,Newcastle Utd
Manchester City,2.7,0.1,Norwich City
Crystal Palace,0.6,0.9,Brentford
Leeds United,1.5,2,Everton
Brighton,1.5,0.9,Watford
Southampton,0.8,1.4,Manchester Utd
Wolves,1.4,1.5,Tottenham
Arsenal,0.3,2.9,Chelsea
West Ham,2.5,0.8,Leicester City
Manchester City,3.8,0.1,Arsenal
Norwich City,1.6,1.3,Leicester City
West Ham,1.2,0.7,Crystal Palace
Newcastle Utd,1.4,3.6,Southampton
Aston Villa,0.6,1.1,Brentford
Brighton,1,1.6,Everton
Liverpool,2.6,0.8,Chelsea
Tottenham,0.9,0.6,Watford
Burnley,1.4,1.5,Leeds United
Wolves,1.8,0.6,Manchester Utd
Crystal Palace,2.4,0.1,Tottenham
Southampton,0.8,0.6,West Ham
Arsenal,3,0.6,Norwich City
Watford,0.2,2,Wolves
Brentford,0.7,0.2,Brighton
Leicester City,0.8,2.8,Manchester City
Manchester Utd,2.2,0.7,Newcastle Utd
Chelsea,1.1,1.5,Aston Villa
Leeds United,1.2,4.1,Liverpool
Everton,1.3,1.3,Burnley
Newcastle Utd,1.3,2.2,Leeds United
Wolves,0.6,2.4,Brentford
Liverpool,2.8,0.9,Crystal Palace
Manchester City,1,0.4,Southampton
Norwich City,0.9,1.9,Watford
Burnley,1.3,1.2,Arsenal
Aston Villa,1.3,0.7,Everton
West Ham,1.6,1.8,Manchester Utd
Brighton,1.4,1.7,Leicester City
Tottenham,0.8,1.9,Chelsea
Manchester Utd,2.3,1.2,Aston Villa
Chelsea,0.3,1.7,Manchester City
Leeds United,1.3,1.9,West Ham
Leicester City,2.6,0.7,Burnley
Watford,1.1,2.5,Newcastle Utd
Everton,2.1,0.6,Norwich City
Brentford,1.9,2.5,Liverpool
Southampton,1.2,1,Wolves
Arsenal,0.8,1,Tottenham
Crystal Palace,1.4,0.6,Brighton
Manchester Utd,0.9,1.1,Everton
Burnley,1,0.5,Norwich City
Leeds United,1.9,0.2,Watford
Chelsea,3.7,1.4,Southampton
Wolves,0.9,0.6,Newcastle Utd
Brighton,1.4,0.5,Arsenal
West Ham,1.4,1.3,Brentford
Crystal Palace,1.3,1.7,Leicester City
Tottenham,1.7,1.1,Aston Villa
Liverpool,1,1.1,Manchester City
Watford,0.5,3.6,Liverpool
Leicester City,3.1,1.3,Manchester Utd
Norwich City,1,0.9,Brighton
Southampton,2.2,0.2,Leeds United
Manchester City,1.9,1,Burnley
Aston Villa,1.1,2,Wolves
Brentford,1.5,0.3,Chelsea
Everton,0.8,1.5,West Ham
Newcastle Utd,0.4,1.6,Tottenham
Arsenal,1.5,0.9,Crystal Palace
Arsenal,2.7,1.4,Aston Villa
Chelsea,3.2,0.2,Norwich City
Southampton,1.6,0.7,Burnley
Leeds United,1.9,1,Wolves
Everton,2.3,3.2,Watford
Crystal Palace,1.7,0.4,Newcastle Utd
Brighton,1.3,3.9,Manchester City
West Ham,1.3,0.7,Tottenham
Brentford,1.2,1.5,Leicester City
Manchester Utd,1.6,3.8,Liverpool
Leicester City,1.2,0.9,Arsenal
Manchester City,1.1,1.1,Crystal Palace
Burnley,2.2,0.7,Brentford
Newcastle Utd,0.3,2.1,Chelsea
Watford,1.2,2,Southampton
Liverpool,1.1,1.1,Brighton
Tottenham,0.7,1.2,Manchester Utd
Norwich City,0.9,1,Leeds United
Aston Villa,0.7,2.3,West Ham
Wolves,1.6,1.5,Everton
Southampton,0.8,0.6,Aston Villa
Manchester Utd,0.6,2,Manchester City
Brentford,2.2,1.4,Norwich City
Crystal Palace,2,0.3,Wolves
Chelsea,2.2,1,Burnley
Brighton,1.6,0.2,Newcastle Utd
Leeds United,1.2,1.1,Leicester City
Arsenal,1.8,0.6,Watford
Everton,0.5,0.8,Tottenham
West Ham,1,1.4,Liverpool
Leicester City,0.4,2.4,Chelsea
Aston Villa,0.6,0.4,Brighton
Burnley,1.3,2,Crystal Palace
Wolves,1.2,0.5,West Ham
Norwich City,0.7,1.2,Southampton
Watford,2.2,1.6,Manchester Utd
Newcastle Utd,1.6,0.8,Brentford
Liverpool,4.3,0.4,Arsenal
Manchester City,2.3,0.3,Everton
Tottenham,2,1.1,Leeds United
Arsenal,2,0.2,Newcastle Utd
Crystal Palace,0.9,0.4,Aston Villa
Liverpool,2.5,1,Southampton
Norwich City,1.5,0.3,Wolves
Brighton,2,1,Leeds United
Brentford,1.2,0.9,Everton
Leicester City,2.2,2.7,Watford
Manchester City,2.1,0.2,West Ham
Chelsea,2.9,0.7,Manchester Utd
Newcastle Utd,1.2,1.5,Norwich City
Leeds United,1.8,1,Crystal Palace
West Ham,1.6,1.1,Brighton
Wolves,0.7,0.2,Burnley
Watford,1,1.3,Chelsea
Southampton,1.6,1.5,Leicester City
Aston Villa,0.9,0.9,Manchester City
Everton,0.6,2.1,Liverpool
Tottenham,2.4,0.3,Brentford
Manchester Utd,1.9,1.5,Arsenal
West Ham,1.8,1.2,Chelsea
Newcastle Utd,1.3,0.7,Burnley
Southampton,1.4,1.4,Brighton
Wolves,0.2,2.5,Liverpool
Watford,0.7,3.7,Manchester City
Leeds United,1.2,1,Brentford
Manchester Utd,1.1,0.9,Crystal Palace
Tottenham,1.7,1.6,Norwich City
Aston Villa,2,1.2,Leicester City
Everton,1,1.2,Arsenal
Brentford,1.9,0.6,Watford
Manchester City,3.5,0.2,Wolves
Chelsea,2.8,1.4,Leeds United
Liverpool,2.5,0.3,Aston Villa
Arsenal,1.5,0.6,Southampton
Norwich City,0.8,2,Manchester Utd
Burnley,0.7,0.6,West Ham
Leicester City,2.5,0.6,Newcastle Utd
Crystal Palace,1.6,1.3,Everton
Norwich City,0.6,1.8,Aston Villa
Manchester City,3.4,0.2,Leeds United
Brighton,1.1,1.3,Wolves
Crystal Palace,1.2,0.7,Southampton
Arsenal,2.7,0.3,West Ham
Chelsea,2.7,0.4,Everton
Liverpool,2.4,0.3,Newcastle Utd
Leeds United,1.6,3.2,Arsenal
Wolves,0.3,0.8,Chelsea
Newcastle Utd,0.4,3.1,Manchester City
Tottenham,3.4,1.5,Liverpool
Manchester City,3.4,2.4,Leicester City
West Ham,1.7,1.3,Southampton
Norwich City,0.1,2.5,Arsenal
Tottenham,2.4,0.2,Crystal Palace
Aston Villa,0.6,2.9,Chelsea
Brighton,0.8,0.8,Brentford
Newcastle Utd,1.1,1.2,Manchester Utd
